Project name:;IT_Atbalsts;;;;;;;;
Moduel name:;User settings;;;;;;;;
Reference document:;Reggression testing;;;;;;;;
Created by:;Salvis;;;;;;;;
Date of creation:;12c.12.2024;;;;;;;;
Date of review:;12.12.2024;;;;;;;;
Browser :;Opera;;;;;;;;
Device:;Aspire A315-33;;;;;;;;
;;;;;;;;;
TEST CASE ID;TEST CASE SCENARIO;TEST CASE;PRE CONDITIONS;TEST STEPS;TESTS DATA;EXPECTED RESULT;POST CONDITIONS;ACTUAL RESULT;STATUS (PASS/FAIL)
Laptop_UserSettings_001;user wants to cahnge thei r name and user name;change username;1.user must have an active account;1.user changes the values of the field;1.Valid name;user name / lastname / username is updated ;message is displayed that  it was succsseful and values has changed after page is reloaded;page reloadss and values are updated.;pass
;;;2.user must be in settings page;2. presses submit;2.Valid Lastname;;;;
;;;;;3.Valid username;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Laptop_UserSettings_002;user wants to update  Name / LastName / username with 3 character or less;update username with 3 character long ;1.user must have an active account;1.changes fields values 3 character long values;1.Invalid name;error message is showed ;message is showed that the character must be atlest 4 characters long ;message is displayed near the field that has the error;pass
;;;2.user must be in settings page;2.presses submit;2.Invalid Lastname;;;;
;;;;;3.Invalid username;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Laptop_UserSettings_003;user wants to update  Name / LastName / username with 5 + character or less;update fields with 5+ characterrs;1.user must have an active account;1. changes fields values 5+ or longer character;1.valid name;field values are updated ;message is displayed that the values  are succsesfully updated;message is displayed and field values are updated;pass
;;;2.user must be in settings page;2.presses submit;2.valid Lastname;;;;
;;;;;3.Valid Username;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Laptop_UserSettings_004;user wants to visit setting pages password updatee;password option;1.user must have an active account;1. presses the password option;;the password update fields are shown;the password fields is displayed and showeed ;the password option is showed ;pass
;;;2.user must be in settings page;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Laptop_UserSettings_005;user wants to update their password field ;password update;1.user must have an active account;1.fills in the field;1. valid password field;password is updated;message is displayed that it was succsesfull and assword is updated;password is updated and message is showed ;pass
;;;2.user must be in settings page;2.presses submit;2. valid oldpassword;;;;
;;;3.must choose the password option;;3.valid confirmation password;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
